nama,time,gazeX,gazeY,label
Aditya2,9266,726.816,555.9516,2
Aditya2,9283,740.0832,560.6389,2
Aditya2,9299,741.024,563.49,2
Aditya2,9315,736.3392,548.0892,2
Aditya2,9332,780.9792,573.3396,2
Aditya2,9348,783.1872,578.9232,2
Aditya2,9365,766.656,551.5884,2
Aditya2,9381,665.9136,629.7696,2
Aditya2,9398,665.9136,629.7696,2
Aditya2,9414,220.2432,611.8524,2
Aditya2,9430,56.3904,666.5652,2
Aditya2,9447,63.9744,670.4964,2
Aditya2,9463,15.3024,648.9504,2
Aditya2,9480,-0.0233,698.8788,2
Aditya2,9496,-0.0187,702.6372,2
Aditya2,9513,-0.0017,642.384,2
Aditya2,9529,-0.004,676.6524,2
Aditya2,9545,-0.0084,672.678,2
Aditya2,9562,-0.0123,603.0072,2
Aditya2,9578,4.3392,645.8076,2
Aditya2,9595,4.3392,645.8076,2
Aditya2,9611,28.6656,626.1084,2
Aditya2,9628,27.936,618.9048,2
Aditya2,9644,43.0464,627.1668,2
Aditya2,9660,56.832,621.108,2
Aditya2,9677,107.9232,657.45,2
Aditya2,9693,107.9232,657.45,2
Aditya2,9710,74.976,667.8072,2
Aditya2,9726,79.968,670.8528,2
Aditya2,9743,73.2096,667.3104,2
Aditya2,9759,27.8592,699.6348,2
Aditya2,9775,4.0704,674.4492,2
Aditya2,9792,-0.0001,672.0516,2
Aditya2,9808,42.528,688.446,2
Aditya2,9825,36.4992,721.818,2
Aditya2,9841,34.1184,720.7704,2
Aditya2,9858,-0.0164,719.7336,2
Aditya2,9874,2.7456,669.1031,2
Aditya2,9890,-0.0028,665.1504,2
Aditya2,9907,-0.0121,712.7676,2
Aditya2,9923,-0.0217,681.9012,2
Aditya2,9940,-0.0254,678.6612,2
Aditya2,9956,-0.0211,700.92,2
Aditya2,9973,11.328,711.666,2
Aditya2,9989,23.4816,717.228,2
Aditya2,10005,66.2976,672.1488,2
Aditya2,10022,85.3056,670.95,2
Aditya2,10038,86.6112,671.6304,2
Aditya2,10055,112.8,687.906,2
Aditya2,10071,120.5952,703.35,2
Aditya2,10088,113.3376,699.6672,2
Aditya2,10104,51.5904,689.1156,2
Aditya2,10120,51.0528,715.9968,2
Aditya2,10137,38.2272,709.776,2
Aditya2,10153,5.7408,704.3544,2
Aditya2,10170,23.8848,701.6868,2
Aditya2,10186,18.7584,699.624,2
Aditya2,10203,63.0528,703.3068,2
Aditya2,10219,43.2576,706.4604,2
Aditya2,10235,68.5056,718.2216,2
Aditya2,10252,90.8352,735.2532,2
Aditya2,10268,63.0144,734.4972,2
Aditya2,10285,63.0144,734.4972,2
Aditya2,10301,108.0576,721.9368,2
Aditya2,10318,117.8304,721.4508,2
Aditya2,10334,110.5344,717.9084,2
Aditya2,10350,88.224,698.274,2
Aditya2,10367,141.4656,701.7624,2
Aditya2,10383,144.768,703.3608,2
Aditya2,10400,122.496,711.612,2
Aditya2,10416,46.9824,727.758,2
Aditya2,10433,32.7552,721.8396,2
Aditya2,10449,140.6784,626.3352,2
Aditya2,10465,183.648,569.3976,2
Aditya2,10482,184.7232,570.186,2
Aditya2,10498,262.7712,532.1484,2
